0.0058231	0.43395	-0.1785
-0.088639	0.43401	-0.21673
-0.33517	0.64616	0.31634
0.47362	0.51629	0.042214
0.17383	0.45344	-0.13991
0.13952	0.43617	-0.1424
-0.0062609	0.43711	-0.21644
0.94155	0.3054	0.14656
0.96694	0.29229	0.0019658
0.18002	0.23274	0.21547
0.84656	0.43159	0.063018
-0.29112	0.82312	-0.36301
1.0159	0.20688	0.084846
1.0612	0.056506	-0.061828
0.027699	1.1177	-0.17471
-0.53861	0.41722	0.5128
-0.4459	0.30266	0.52535
-0.55199	0.42917	0.49345
0.56041	0.55423	-0.021224
0.96485	0.26856	-0.10016
0.85279	0.19434	-0.31574
-0.61337	0.45452	0.10821
-0.63262	0.10813	0.065688
-0.31707	0.72171	0.035228
-0.52684	0.63218	0.21529
0.57232	0.45412	0.16478
0.64749	0.43457	0.18937
0.065335	0.42396	-0.17717
-0.093357	0.56635	-0.047126
-0.50008	0.4226	0.5167
0.45608	0.47432	0.1134
-0.060908	0.31244	0.075689
-0.63269	0.051797	-0.5455
0.80511	0.46231	0.064567
-0.62385	0.26369	-0.20291
0.93952	0.21572	-0.21234
0.95816	0.20215	-0.19833
-0.60413	0.21733	-0.26427
0.016916	1.1605	-0.20315
-0.47372	0.55295	0.41246
0.21313	0.22731	0.24498
0.078111	1.2332	-0.39575
-0.048793	1.0426	-0.30069
0.072894	0.42084	-0.14806
0.64323	0.48974	0.12665
-0.061442	0.45117	-0.01832
0.12426	0.43774	-0.17688
0.73227	0.42398	0.17017
0.76414	0.42338	0.16976
0.95542	0.28129	0.15152
0.92655	0.31916	0.15397
-0.016919	0.95641	-0.11958
-0.58795	0.3655	-0.17378
-0.12376	0.54748	0.12323
1.0529	0.11643	0.051771
1.0198	0.18098	-0.064367
1.0396	0.069965	0.17551
-0.14555	0.71981	0.023119
0.12096	0.8762	-0.21339
-0.3508	0.56646	0.39285
-0.40795	0.51004	0.44996
-0.73599	-0.27401	-0.16056
-0.63769	0.23491	-0.21266
-0.49254	0.32601	0.53726
-0.30701	0.87243	-0.39213
0.018067	0.43326	-0.20506
-0.065233	0.45911	-0.054797
-0.31771	0.72496	-0.11747
-0.7471	0.1666	0.31835
0.60413	0.45788	0.16425
0.61022	0.43199	0.19272
0.043344	0.42839	-0.18591
-0.24331	0.73196	-0.0051286
0.9045	0.35299	0.14173
0.047361	1.1354	-0.19906
0.91507	0.14045	-0.28199
-0.3896	0.91991	-0.36481
0.41401	0.38014	0.20517
0.88657	-0.00018501	0.38154
0.19285	1.012	-0.29324
-0.043543	0.95152	-0.11139
0.052874	0.42429	-0.21303
-0.053672	1.0036	-0.13566
0.25088	0.23887	0.2502
-0.62509	0.38389	0.098699
-0.52839	1.0901	-0.6622
-0.52307	0.32431	0.54408
-0.66426	0.094696	-0.27174
-0.095863	0.56997	-0.029266
0.97622	0.28172	0.081092
0.92376	0.1387	0.28279
0.02725	1.0747	-0.1713
-0.4539	0.49746	0.46731
-0.43671	0.56503	0.40981
-0.025898	1.0426	-0.1467
0.99574	0.25053	0.044361
-0.61286	0.14827	-0.25196
1.0815	-0.038391	0.05883
0.69895	0.5078	0.056441
0.30718	-0.69499	0.45213
0.3512	-0.70457	0.44799
0.22601	0.4863	-0.16561
